"","X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
"4523",4523,2022,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","101","Forest Hill South",155
"4524",4524,2014,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","40","St.Andrew-Windfields",10
"4525",4525,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","171","Junction-Wallace Emerson",83
"4526",4526,2015,"D32","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","32","Englemount-Lawrence",2
"4527",4527,2020,"D51","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","166","St Lawrence-East Bayfront-The Islands",1
"4528",4528,2019,"D22","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","16","Stonegate-Queensway",15
"4529",4529,2014,"D52","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","169","Bay-Cloverhill",30
"4530",4530,2020,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",408
"4531",4531,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","157","Bendale South",452
"4532",4532,2019,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","151","Yonge-Doris",100
"4533",4533,2014,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","65","Greenwood-Coxwell",1
"4534",4534,2022,"D43","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","143","West Rouge",1
"4535",4535,2019,"D22","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","13","Etobicoke West Mall",9
"4536",4536,2014,"D14","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","83","Dufferin Grove",1
"4537",4537,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","120","Clairlea-Birchmount",2
"4538",4538,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","49","Bayview Woods-Steeles",77
"4539",4539,2019,"D51","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",16
"4540",4540,2019,"D41","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","124","Kennedy Park",2
"4541",4541,2016,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","47","Don Valley Village",198
"4542",4542,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","156","Bendale-Glen Andrew",8
"4543",4543,2017,"D42","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","147","L'Amoreaux West",1
"4544",4544,2017,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","154","Oakdale-Beverley Heights",3
"4545",4545,2020,"D55","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","44","Flemingdon Park",223
"4546",4546,2019,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","80","Palmerston-Little Italy",68
"4547",4547,2018,"D41","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","156","Bendale-Glen Andrew",51
"4548",4548,2018,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","85","South Parkdale",1
"4549",4549,2017,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","124","Kennedy Park",18
"4550",4550,2020,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","94","Wychwood",22
"4551",4551,2015,"D43","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","157","Bendale South",1
"4552",4552,2021,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","126","Dorset Park",3
"4553",4553,2022,"D13","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","92","Corso Italia-Davenport",6
"4554",4554,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","148","East L'Amoreaux",179
"4555",4555,2016,"D43","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","136","West Hill",10
"4556",4556,2020,"D11","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","83","Dufferin Grove",97
"4557",4557,2019,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","125","Ionview",49
"4558",4558,2021,"D13","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","107","Oakwood Village",279
"4559",4559,2020,"D51","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","167","Church-Wellesley",3
"4560",4560,2016,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","133","Centennial Scarborough",7
"4561",4561,2019,"D42","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","129","Agincourt North",1
"4562",4562,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","20","Alderwood",54
"4563",4563,2021,"D43","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","136","West Hill",3
"4564",4564,2019,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","135","Morningside",185
"4565",4565,2017,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","120","Clairlea-Birchmount",3
"4566",4566,2022,"D33","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","42","Banbury-Don Mills",17
"4567",4567,2022,"D14","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","164","Wellington Place",101
"4568",4568,2020,"D52","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","170","Yonge-Bay Corridor",448
"4569",4569,2016,"D41","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","120","Clairlea-Birchmount",20
"4570",4570,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",5
"4571",4571,2020,"D42","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","144","Morningside Heights",108
"4572",4572,2017,"D12","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","91","Weston-Pelham Park",4
"4573",4573,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","42","Banbury-Don Mills",15
"4574",4574,2020,"D12","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","111","Rockcliffe-Smythe",35
"4575",4575,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","138","Eglinton East",1
"4576",4576,2018,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","174","South Eglinton-Davisville",98
"4577",4577,2017,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","23","Pelmo Park-Humberlea",68
"4578",4578,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","147","L'Amoreaux West",78
"4579",4579,2022,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","169","Bay-Cloverhill",15
"4580",4580,2015,"D33","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","150","Fenside-Parkwoods",33
"4581",4581,2014,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","92","Corso Italia-Davenport",51
"4582",4582,2014,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","100","Yonge-Eglinton",1
"4583",4583,2020,"D52","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","165","Harbourfront-CityPlace",2
"4584",4584,2017,"D14","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","79","University",147
"4585",4585,2015,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",125
"4586",4586,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","170","Yonge-Bay Corridor",1910
"4587",4587,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","96","Casa Loma",36
"4588",4588,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","27","York University Heights",299
"4589",4589,2017,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","79","University",18
"4590",4590,2016,"D14","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","79","University",186
"4591",4591,2021,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","20","Alderwood",2
"4592",4592,2016,"D14","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","NSA","NSA",1
"4593",4593,2022,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","38","Lansing-Westgate",2
"4594",4594,2014,"D23","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","2","Mount Olive-Silverstone-Jamestown",7
"4595",4595,2019,"D55","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","65","Greenwood-Coxwell",3
"4596",4596,2019,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","NSA","NSA",25
"4597",4597,2015,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Unknown","NSA","NSA",2
"4598",4598,2020,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","172","Dovercourt Village",29
"4599",4599,2014,"D53","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","98","Rosedale-Moore Park",536
"4600",4600,2015,"D53","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","71","Cabbagetown-South St.James Town",1
"4601",4601,2019,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","12","Markland Wood",19
"4602",4602,2022,"D53","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","103","Lawrence Park South",4
"4603",4603,2014,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","105","Lawrence Park North",4
"4604",4604,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","41","Bridle Path-Sunnybrook-York Mills",1
"4605",4605,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","25","Glenfield-Jane Heights",7
"4606",4606,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","130","Milliken",32
"4607",4607,2017,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","129","Agincourt North",1
"4608",4608,2014,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","146","Malvern East",1
"4609",4609,2021,"D53","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","74","North St.James Town",4
"4610",4610,2019,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","94","Wychwood",14
"4611",4611,2021,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","NSA","NSA",2
"4612",4612,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","147","L'Amoreaux West",3
"4613",4613,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","123","Cliffcrest",8
"4614",4614,2019,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","112","Beechborough-Greenbrook",6
"4615",4615,2020,"D51","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","167","Church-Wellesley",19
"4616",4616,2018,"D51","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","73","Moss Park",9
"4617",4617,2019,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","126","Dorset Park",4
"4618",4618,2015,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","52","Bayview Village",7
"4619",4619,2017,"D31","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","21","Humber Summit",16
"4620",4620,2021,"D41","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","120","Clairlea-Birchmount",8
"4621",4621,2017,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","123","Cliffcrest",15
"4622",4622,2015,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","NSA","NSA",31
"4623",4623,2021,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","94","Wychwood",1
"4624",4624,2014,"D51","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","166","St Lawrence-East Bayfront-The Islands",502
"4625",4625,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","119","Wexford/Maryvale",3
"4626",4626,2020,"D32","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","153","Avondale",8
"4627",4627,2017,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",35
"4628",4628,2017,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","22","Humbermede",7
"4629",4629,2022,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","122","Birchcliffe-Cliffside",8
"4630",4630,2015,"D14","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","78","Kensington-Chinatown",362
"4631",4631,2019,"D53","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","39","Bedford Park-Nortown",1
"4632",4632,2021,"D43","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","123","Cliffcrest",1
"4633",4633,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","124","Kennedy Park",46
"4634",4634,2019,"D22","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","11","Eringate-Centennial-West Deane",2
"4635",4635,2018,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","57","Broadview North",22
"4636",4636,2019,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","155","Downsview",161
"4637",4637,2015,"D12","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","113","Weston",56
"4638",4638,2016,"D14","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","81","Trinity-Bellwoods",5
"4639",4639,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","50","Newtonbrook East",374
"4640",4640,2019,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","91","Weston-Pelham Park",6
"4641",4641,2014,"D11","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","88","High Park North",96
"4642",4642,2019,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","79","University",2
"4643",4643,2017,"D23","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","10","Princess-Rosethorn",4
"4644",4644,2017,"D42","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","143","West Rouge",2
"4645",4645,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","12","Markland Wood",62
"4646",4646,2020,"D12","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","NSA","NSA",11
"4647",4647,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","49","Bayview Woods-Steeles",1
"4648",4648,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","8","Humber Heights-Westmount",1
"4649",4649,2018,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","107","Oakwood Village",43
"4650",4650,2019,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","169","Bay-Cloverhill",35
"4651",4651,2017,"D32","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","38","Lansing-Westgate",1
"4652",4652,2015,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","136","West Hill",11
"4653",4653,2017,"D22","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","159","Etobicoke City Centre",22
"4654",4654,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","16","Stonegate-Queensway",220
"4655",4655,2017,"D52","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","166","St Lawrence-East Bayfront-The Islands",34
"4656",4656,2015,"D12","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","115","Mount Dennis",1
"4657",4657,2018,"D51","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","167","Church-Wellesley",12
"4658",4658,2016,"D42","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","118","Tam O'Shanter-Sullivan",2
"4659",4659,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","43","Victoria Village",6
"4660",4660,2020,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","113","Weston",4
"4661",4661,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","125","Ionview",6
"4662",4662,2016,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","NSA","NSA",12
"4663",4663,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","151","Yonge-Doris",47
"4664",4664,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","41","Bridle Path-Sunnybrook-York Mills",2
"4665",4665,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","40","St.Andrew-Windfields",22
"4666",4666,2018,"D51","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","72","Regent Park",50
"4667",4667,2017,"D42","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","144","Morningside Heights",72
"4668",4668,2016,"D42","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","144","Morningside Heights",10
"4669",4669,2015,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","150","Fenside-Parkwoods",32
"4670",4670,2020,"D13","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","101","Forest Hill South",249
"4671",4671,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","40","St.Andrew-Windfields",76
"4672",4672,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","79","University",18
"4673",4673,2020,"D51","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","166","St Lawrence-East Bayfront-The Islands",4
"4674",4674,2021,"D55","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","63","The Beaches",6
"4675",4675,2020,"D13","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","94","Wychwood",11
"4676",4676,2018,"D32","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","151","Yonge-Doris",2
"4677",4677,2016,"D43","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","123","Cliffcrest",7
"4678",4678,2017,"D53","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","95","Annex",8
"4679",4679,2014,"D13","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","94","Wychwood",2
"4680",4680,2015,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","NSA","NSA",1
"4681",4681,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","39","Bedford Park-Nortown",295
"4682",4682,2018,"D52","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","168","Downtown Yonge East",92
"4683",4683,2019,"D43","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","141","Golfdale-Cedarbrae-Woburn",115
"4684",4684,2018,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","170","Yonge-Bay Corridor",1
"4685",4685,2021,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","130","Milliken",7
"4686",4686,2015,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","126","Dorset Park",801
"4687",4687,2019,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",135
"4688",4688,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","15","Kingsway South",2
"4689",4689,2014,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","114","Lambton Baby Point",25
"4690",4690,2020,"D51","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","168","Downtown Yonge East",72
"4691",4691,2022,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","161","Humber Bay Shores",53
"4692",4692,2017,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","138","Eglinton East",25
"4693",4693,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","NSA","NSA",481
"4694",4694,2015,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","157","Bendale South",2
"4695",4695,2021,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","16","Stonegate-Queensway",375
"4696",4696,2019,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","116","Steeles",83
"4697",4697,2019,"D55","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","63","The Beaches",78
"4698",4698,2020,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","66","Danforth",10
"4699",4699,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","NSA","NSA",5
"4700",4700,2014,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","55","Thorncliffe Park",29
"4701",4701,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","20","Alderwood",25
"4702",4702,2015,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",233
"4703",4703,2016,"D22","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","161","Humber Bay Shores",67
"4704",4704,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","98","Rosedale-Moore Park",2
"4705",4705,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","160","Mimico-Queensway",60
"4706",4706,2014,"D13","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","31","Yorkdale-Glen Park",24
"4707",4707,2021,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","147","L'Amoreaux West",5
"4708",4708,2020,"D42","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","145","Malvern West",89
"4709",4709,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","79","University",63
"4710",4710,2015,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","138","Eglinton East",2
"4711",4711,2022,"D23","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","7","Willowridge-Martingrove-Richview",1
"4712",4712,2022,"D51","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","74","North St.James Town",79
"4713",4713,2021,"D55","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","NSA","NSA",7
"4714",4714,2022,"D12","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","29","Maple Leaf",11
"4715",4715,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","66","Danforth",7
"4716",4716,2021,"D32","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","153","Avondale",1
"4717",4717,2020,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","167","Church-Wellesley",11
"4718",4718,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","164","Wellington Place",139
"4719",4719,2014,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","156","Bendale-Glen Andrew",95
"4720",4720,2021,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","44","Flemingdon Park",27
"4721",4721,2014,"D23","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","2","Mount Olive-Silverstone-Jamestown",1
"4722",4722,2016,"D13","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",6
"4723",4723,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","NSA","NSA",463
"4724",4724,2015,"D43","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","140","Guildwood",1
"4725",4725,2018,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","152","East Willowdale",3
"4726",4726,2020,"D14","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","164","Wellington Place",22
"4727",4727,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","44","Flemingdon Park",171
"4728",4728,2017,"D53","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","103","Lawrence Park South",7
"4729",4729,2016,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","156","Bendale-Glen Andrew",51
"4730",4730,2018,"D23","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","3","Thistletown-Beaumond Heights",2
"4731",4731,2019,"D22","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","18","New Toronto",1
"4732",4732,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","37","Willowdale West",76
"4733",4733,2014,"D12","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","NSA","NSA",2
"4734",4734,2014,"D22","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","159","Etobicoke City Centre",41
"4735",4735,2016,"D33","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","52","Bayview Village",69
"4736",4736,2022,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","41","Bridle Path-Sunnybrook-York Mills",81
"4737",4737,2016,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","111","Rockcliffe-Smythe",1
"4738",4738,2015,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","84","Little Portugal",69
"4739",4739,2014,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","141","Golfdale-Cedarbrae-Woburn",92
"4740",4740,2015,"D23","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","2","Mount Olive-Silverstone-Jamestown",74
"4741",4741,2021,"D55","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","43","Victoria Village",2
"4742",4742,2018,"D53","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","169","Bay-Cloverhill",178
"4743",4743,2015,"D23","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Youth","9","Edenbridge-Humber Valley",1
"4744",4744,2021,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","46","Pleasant View",1
"4745",4745,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","41","Bridle Path-Sunnybrook-York Mills",27
"4746",4746,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","165","Harbourfront-CityPlace",1
"4747",4747,2018,"D42","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","129","Agincourt North",46
"4748",4748,2014,"D22","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","158","Islington",1
"4749",4749,2014,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","79","University",3
"4750",4750,2014,"D51","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","71","Cabbagetown-South St.James Town",2
